[2026-08-18 22:22:44] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-08-17
正在获取论文...
[arXiv] 2026-08-17 | CAPO: Constraint-Aware Prompt Optimization for LLM Agents
[arXiv] 2026-08-17 | Some explicit counter-examples to Weibel's conjecture
[arXiv] 2026-08-17 | Helical Magnon Frequency Comb in Synthetic Antiferromagnetic Skyrmion Lattices
[arXiv] 2026-08-17 | Dark Matter Admixed Quark Stars: A Relativistic Two-Fluid Approach
[arXiv] 2026-08-17 | Measuring Mean Spanwise Flow with a Rotating Single Hot-Wire Probe over a Wide Yawed Riblet-Textured Surface
[arXiv] 2026-08-17 | Transport-defined photodetection through electrically selectable nonequilibrium carrier transport
[arXiv] 2026-08-17 | Coverage Is Not Containment: A Fundamental Limit of Admission-Time Defenses Against Coordinated Poisoning of Vector Retrieval
[arXiv] 2026-08-17 | Coverage Is Not Redundancy: Maintenance Cost and Exposure of Query-Aware Admission Indexes in Vector Databases Under Workload Drift
[arXiv] 2026-08-17 | Depth-guided Multi-view Exposure Bracketing for HDR Robot Vision
[arXiv] 2026-08-17 | From Sequence to Structure: Relational Uncertainty Propagation for LLM Agents
[arXiv] 2026-08-17 | The Koi Pond: A Strongly Lensed Protocluster Core hosting a Diverse Population of DSFGs
[arXiv] 2026-08-17 | Threshold cascades of interacting diffusions on unimodular random trees: a conditional branching-process universality theorem, the annealed pressure, and the dimension of the failed boundary
[arXiv] 2026-08-17 | The Geography of Research: The Trade-Off Between Knowledge Production and Access
[arXiv] 2026-08-17 | ALPS: Measuring Valid Creativity in Large Language Models with Mathematical Construction
[arXiv] 2026-08-17 | DER Allocation without Load Prediction via Reinforcement Learning
[arXiv] 2026-08-17 | Fiber Fingerprints of Hidden Learning-State Dynamics
[arXiv] 2026-08-17 | Continual-learning rules shape representational drift
[arXiv] 2026-08-17 | Generalized Linear Models for Extremes: Estimation and Inference in High Dimensions
[arXiv] 2026-08-17 | On the Incompatibility of Weighted PROPX and Pareto Optimality for Indivisible Chores
[arXiv] 2026-08-17 | Real-Variable Characterizations and Their Applications of Anisotropic Besov Spaces with Matrix $\mathcal A_\infty$ Weights
[arXiv] 2026-08-17 | Coded Hankel Polynomial Chaos: Spectral Identification of Dominant Polynomial-Chaos Modes
[arXiv] 2026-08-17 | Assessing LLMs' mathematical abilities requires understanding the various mechanisms of mathematical creativity
[arXiv] 2026-08-17 | New constructions of optimal arrangements of $2d$ lines in $\mathbb{C}^d$
[arXiv] 2026-08-17 | Rigidity-Aware Formation Tracking under Sensing Range Constraints via Single Control Barrier Function Constraint
[arXiv] 2026-08-17 | HyperSkill: Self-Evolving LLM Agents via Hypergraph-Structured Skill Memory
[arXiv] 2026-08-17 | TISC: A Text-Driven Image Semantic Communication System for Faithful Reconstruction
[arXiv] 2026-08-17 | Behaviour Is an Incomplete Measure of Reasoning Development: Cross-surface pre-arrival accessibility and the limits of developmental inference in a recurrent-depth reasoner
[arXiv] 2026-08-17 | SafeGesture: Evaluating Fine-Grained Hand Gesture Understanding in Vision-Language Models through Scenario-Conditioned Safety Interpretation
[arXiv] 2026-08-17 | Measurement of Branching Fraction and Transition Magnetic Moment of the Hyperon Dalitz Decay $Σ^0 \rightarrow Λe^+e^-$
[arXiv] 2026-08-17 | Ventor-QTest: Threat-Model-Driven Verification of Vendor-Hosted LLM APIs
[arXiv] 2026-08-17 | A magnonic-optoelectronic reservoir for physical reservoir computing
[arXiv] 2026-08-17 | Mint-Agent: Introducing Finance-Native Agentic Foundation Models
[arXiv] 2026-08-17 | Depth-Dominant Skeleton Detection for Natural Scenes
[arXiv] 2026-08-17 | The second pole of Witten zeta functions and exact evaluations in types F4 and D5
[arXiv] 2026-08-17 | DriveCache: Action-Aware Caching for Driving World Model Inference
[arXiv] 2026-08-17 | SIGMA-Lane: Scale-pyramId Gated MAmba for Temporally Consistent Video Lane Detection
[arXiv] 2026-08-17 | Readiness Barrier Functions: Forward-Invariant Control Authority for Overactuated Multirotor Allocation
[arXiv] 2026-08-17 | Transfer Learning of Keystroke Dynamics for Cross-Device User Authentication
[arXiv] 2026-08-17 | Step-Level On-Policy Distillation: Interpolating Between On-Policy Distillation and Supervised Fine-Tuning
[arXiv] 2026-08-17 | The Best Are Always the Best: COVID-19 Lockdown Stringency and the Dispersion of Olympic Medal Outcomes
[arXiv] 2026-08-17 | Estimating global article processing charges paid to 14 publishers for open access between 2019 and 2025
[arXiv] 2026-08-17 | Coupled Transient Processes Govern Intraplate Earthquake Swarm Evolution: Insights from the 2019-2020 Palghar Sequence
[arXiv] 2026-08-17 | Correlation Clustering with Random Partial Information
[arXiv] 2026-08-17 | DB-SpMSpV: Dual-View Blocked Sparse Matrix-Sparse Vector Multiplication for Dynamic GPU Workloads
[arXiv] 2026-08-17 | ETA Coordination at UAM Corridor Merging Points Using Worst-Case and Stochastic Trajectory Bounds
[arXiv] 2026-08-17 | Coronal gas excitation as a tracer of supermassive black hole mass: on the mid-IR coronal [Ne v] lines
[arXiv] 2026-08-17 | A Novel Binaural Cue Preservation Loss for DNN-Based Binaural Speech Enhancement
[arXiv] 2026-08-17 | Principled Authority Switching for Shared Autonomy in Human-Robot Teams
[arXiv] 2026-08-17 | Beamforming and Filter Design for Bistatic ISAC under Known and Unknown Transmit Symbols
[arXiv] 2026-08-17 | A 32-leaf tree requiring six coordinates for an isometric $\ell_\infty$ embedding
[arXiv] 2026-08-17 | TransAnyText: Translating Arbitrary Text in E-commerce Images via Structured Visual Generation
[arXiv] 2026-08-17 | Twisted primitive group association schemes
[arXiv] 2026-08-17 | Foresight-England: Development of a National-Scale Generative AI Model of Electronic Health Records for Medical Event Prediction across the COVID-19 Pandemic
[arXiv] 2026-08-17 | CoM$^3$eT: A foundation model for medical image analysis through federated, multidimensional context integration
[arXiv] 2026-08-17 | Print-Aware Synthesis and Physical Design Methodologies for 3D-Printed Microfluidic Biochips
[arXiv] 2026-08-17 | Dimensionality Mismatch Enables Decoupled Heat and Charge Transport
[arXiv] 2026-08-17 | Defake-o3: From Speculative Rationales to Verifiable Evidence for Explainable AIGI Detection
[arXiv] 2026-08-17 | Second-Order Response Laws for LLM Judges: Debiased Estimation of Prompt Instability
[arXiv] 2026-08-17 | CompoSkill: Compositional Skill Chain Attacks from Individually Scanner-Passing LLM Agent Skills
[arXiv] 2026-08-17 | Optimizing Multi-Market Participation of Battery and Electrolyser Systems Based on Field Performance
[arXiv] 2026-08-17 | GaussianDWM++: Language-Grounded 3D Gaussian Driving World Model for Unified Scene Understanding, Editing, and Multi-Modal Generation
[arXiv] 2026-08-17 | PCT-Prompt: A Prompt-Guided Transformer Framework for Dense Prediction Tasks in Point Clouds
[arXiv] 2026-08-17 | STAIR: Semantic-Temporal Automaton for Interpretable Reasoning in Temporal Question Answering
[arXiv] 2026-08-17 | Process-Constituted Intelligence: A Shared Criterion for Humans and Machines
[arXiv] 2026-08-17 | Conditional Evaluation of Language Models with Cheap Auxiliary Signals
[arXiv] 2026-08-17 | PRISM: Decision-Centric Predictive Sensing for Cognitive Digital Twins in 6G
[arXiv] 2026-08-17 | Baseline-Relative Counterfactual Refinement for Bit-Aware Visual Token Communication
[arXiv] 2026-08-17 | AdaSprite: Resource-efficient Online Co-Adaptation for V2I Systems Under Large-scale Data Drifts
[arXiv] 2026-08-17 | LENS: In-Context Search via Latent Evidence Exploration over Dynamic Raw Documents
[arXiv] 2026-08-17 | MUSE: An Interactive Meta-Agent for Understanding and Steering LLM-powered Data Science Systems
[arXiv] 2026-08-17 | Star Formation in the H II Region Sh 2-205: 3D Morphology and Kinematics from Young Stars and Molecular Gas
[arXiv] 2026-08-17 | Adaptive Relative Orbit Control Considering Laser Ablation Uncertainty
[arXiv] 2026-08-17 | Global Solutions to a Fourth-order Degenerate Model for Surface-Tension-Driven Convection
[arXiv] 2026-08-17 | Domain-Specific Text Embedding Models for Entity Resolution
[arXiv] 2026-08-17 | REFLEX: Reflexive Equilibrium Fixed-point Learning for Endogenous eXchanges
[arXiv] 2026-08-17 | The Right Prior for the Right Deformation: Rethinking Continuous Deformable Image Registration
[arXiv] 2026-08-17 | Central limit theorem in Rényi divergence for lattice random variables
[arXiv] 2026-08-17 | Cubes in the Torus
[arXiv] 2026-08-17 | A Local Central Limit Theorem for Clique Counts in Sparse Random Graphs
[arXiv] 2026-08-17 | Spectral Gaps of Hit-and-Run and Coordinate Hit-and-Run
[arXiv] 2026-08-17 | An Analytical-Prior Framework for Data-Efficient Prediction of Sound-Reduction Frequencies in Rectangular Side-Branch Helmholtz Resonators
[arXiv] 2026-08-17 | Data-Efficient and Interpretable Classification of Circulating Tumor Cell Phenotypes in Microfluidic Devices via Deep Learning
[arXiv] 2026-08-17 | Towards Computational Provenance: Carrying Causal-State Evidence in Generated Text
[arXiv] 2026-08-17 | HarnessEval-W: Agentifying the Evaluation of Visual Worlds
